name,address,phone
General Hospital,123 Main Street New York NY 10001,555-0123
City Medical Center,456 Oak Avenue Los Angeles CA 90210,555-0456
Metropolitan Health Center,789 Pine Road Chicago IL 60601,555-0789
Emergency Medical Center,321 Elm Street Houston TX 77001,555-0321
Pediatric Hospital,654 Maple Avenue Phoenix AZ 85001,
Regional Medical Center,987 Cedar Boulevard Philadelphia PA 19101,555-0987
Community Health Center,147 Birch Lane San Antonio TX 78201,555-0147
Specialty Care Hospital,258 Spruce Drive San Diego CA 92101,555-0258
University Medical Center,369 Willow Street Dallas TX 75201,555-0369
Rehabilitation Hospital,741 Oakwood Avenue San Jose CA 95101,
Cardiac Care Center,852 Pine Street Jacksonville FL 32201,555-0852
Orthopedic Hospital,963 Elm Boulevard Columbus OH 43201,555-0963
Cancer Treatment Center,159 Maple Street Fort Worth TX 76101,555-0159
Mental Health Facility,357 Oak Drive Charlotte NC 28201,555-0357
Women's Health Center,468 Cedar Lane Detroit MI 48201,555-0468
Children's Hospital,579 Birch Road El Paso TX 79901,555-0579
Surgical Center,681 Spruce Avenue Memphis TN 38101,555-0681
Trauma Center,792 Willow Boulevard Boston MA 02101,555-0792
Neurology Institute,813 Pine Place Seattle WA 98101,555-0813
Maternity Hospital,924 Elm Court Denver CO 80201,555-0924
