name,address,phone
General Hospital,123 Main Street New York NY 10001,555-0123
City Medical Center,456 Oak Avenue Los Angeles CA 90210,555-0456
Metropolitan Health Center,789 Pine Road Chicago IL 60601,555-0789
Emergency Medical Center,321 Elm Street Houston TX 77001,555-0321
Pediatric Hospital,654 Maple Avenue Phoenix AZ 85001,
Regional Medical Center,987 Cedar Boulevard Philadelphia PA 19101,555-0987
Community Health Center,147 Birch Lane San Antonio TX 78201,555-0147
Specialty Care Hospital,258 Spruce Drive San Diego CA 92101,555-0258
University Medical Center,369 Willow Street Dallas TX 75201,555-0369
Rehabilitation Hospital,741 Oakwood Avenue San Jose CA 95101,
